INFO 2025-04-04 09:51:53,723 autoreload Watching for file changes with StatReloader
DEBUG 2025-04-04 09:51:54,015 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/django/contrib/messages/middleware.py first seen with mtime 1743056809.7113152
DEBUG 2025-04-04 09:51:54,015 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/django/contrib/messages/__init__.py first seen with mtime 1743056809.7113152
DEBUG 2025-04-04 09:51:54,015 autoreload File /usr/lib/python3.10/unittest/signals.py first seen with mtime 1738681056.0
DEBUG 2025-04-04 09:51:54,015 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/django/core/handlers/exception.py first seen with mtime 1743056809.9987345
DEBUG 2025-04-04 09:51:54,015 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/sqlparse/keywords.py first seen with mtime 1743056808.1266062
DEBUG 2025-04-04 09:51:54,016 autoreload File /usr/lib/python3.10/linecache.py first seen with mtime 1738681056.0
DEBUG 2025-04-04 09:51:54,016 autoreload File /usr/lib/python3.10/pkgutil.py first seen with mtime 1738681056.0
DEBUG 2025-04-04 09:51:54,016 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/rest_framework/utils/urls.py first seen with mtime 1743056811.887177
DEBUG 2025-04-04 09:51:54,016 autoreload File /usr/lib/python3.10/http/__init__.py first seen with mtime 1738681056.0
DEBUG 2025-04-04 09:51:54,016 autoreload File /usr/lib/python3.10/encodings/idna.py first seen with mtime 1738681056.0
DEBUG 2025-04-04 09:51:54,016 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/django/contrib/auth/admin.py first seen with mtime 1743056809.300146
DEBUG 2025-04-04 09:51:54,016 autoreload File /home/priyanshus/Documents/django1/myenv/lib/python3.10/site-packages/sqlparse/filters/aligned_indent.py first seen with mtime 1743056808.1305976
